x		y		HR.State		HR		Stab.State		water.d		water.v		walk.speed		b.height		b.mass		gender
82.818		214.315		0		0.000		0		0.000		0.000		1.390		1.639		61.566		1
101.087		278.048		0		0.000		0		0.000		0.000		1.390		1.799		84.576		2
96.943		235.663		0		0.000		0		0.000		0.000		1.390		1.791		69.222		2
97.441		248.840		0		0.000		0		0.000		0.000		1.390		1.791		69.222		2
104.159		245.528		0		0.000		0		0.000		0.000		1.390		1.791		69.222		2
178.984		253.774		0		0.000		0		0.000		0.000		1.390		1.931		91.136		1
101.630		268.804		0		0.000		0		0.000		0.000		1.390		1.933		87.546		2
97.013		233.437		0		0.000		0		0.000		0.000		1.390		1.829		86.221		2
110.644		246.136		0		0.000		0		0.000		0.000		1.390		1.829		86.221		2
175.455		250.945		0		0.000		0		0.000		0.000		1.390		1.829		86.221		2
97.790		222.794		0		0.000		0		0.000		0.000		1.390		1.793		71.730		2
90.707		225.707		0		0.000		0		0.000		0.000		1.390		1.793		71.730		2
114.721		245.778		0		0.000		0		0.000		0.000		1.390		1.793		71.730		2
98.981		193.761		0		0.000		0		0.000		0.000		1.390		1.793		71.730		2
186.286		247.381		0		0.000		0		0.000		0.000		1.390		1.932		97.381		1
100.765		243.780		0		0.000		0		0.000		0.000		1.390		1.803		72.749		1
88.098		228.064		0		0.000		0		0.000		0.000		1.390		1.803		72.749		1
100.905		246.857		0		0.000		0		0.000		0.000		1.390		1.803		72.749		1
128.391		251.546		0		0.000		0		0.000		0.000		1.390		1.803		72.749		1
168.648		250.393		0		0.000		0		0.000		0.000		1.390		1.803		72.749		1
157.410		227.408		0		0.000		0		0.000		0.000		1.390		1.803		72.749		1
178.177		248.600		0		0.000		0		0.000		0.000		1.390		1.803		72.749		1
180.432		239.431		0		0.000		0		0.000		0.000		1.390		1.803		72.749		1
182.005		247.583		0		0.000		0		0.000		0.000		1.390		1.803		72.749		1
187.541		238.477		0		0.000		0		0.000		0.000		1.390		1.803		72.749		1
108.320		250.993		0		0.000		0		0.000		0.000		1.390		1.821		80.277		2
172.837		250.029		0		0.000		0		0.000		0.000		1.390		1.821		80.277		2
181.048		236.567		0		0.000		0		0.000		0.000		1.390		1.821		80.277		2
186.648		230.276		0		0.000		0		0.000		0.000		1.390		1.821		80.277		2
197.177		233.748		0		0.000		0		0.000		0.000		1.390		1.631		65.791		1
95.158		258.053		0		0.000		0		0.000		0.000		1.390		1.402		42.627		1
112.720		250.900		0		0.000		0		0.000		0.000		1.390		1.805		85.316		1
118.730		243.594		0		0.000		0		0.000		0.000		1.390		1.805		85.316		1
157.027		243.625		0		0.000		0		0.000		0.000		1.390		1.805		85.316		1
177.026		247.344		0		0.000		0		0.000		0.000		1.390		1.805		85.316		1
100.191		272.533		0		0.000		0		0.000		0.000		1.390		1.635		67.304		2
73.933		214.520		0		0.000		0		0.000		0.000		1.390		1.637		70.987		2
104.930		252.300		0		0.000		0		0.000		0.000		1.390		1.639		69.229		1
105.070		229.744		0		0.000		0		0.000		0.000		1.390		1.637		70.987		2
168.098		234.763		0		0.000		0		0.000		0.000		1.390		1.637		70.987		2
178.686		241.498		0		0.000		0		0.000		0.000		1.390		1.637		70.987		2
183.830		233.872		0		0.000		0		0.000		0.000		1.390		1.637		70.987		2
117.330		317.833		0		0.000		0		0.000		0.000		1.390		1.934		86.785		1
102.887		223.320		0		0.000		0		0.000		0.000		1.390		1.833		83.921		1
114.776		232.536		0		0.000		0		0.000		0.000		1.390		1.833		83.921		1
143.735		221.271		0		0.000		0		0.000		0.000		1.390		1.833		83.921		1
174.587		247.245		0		0.000		0		0.000		0.000		1.390		1.833		83.921		1
97.339		275.611		0		0.000		0		0.000		0.000		1.390		1.744		78.814		2
101.184		224.235		0		0.000		0		0.000		0.000		1.390		1.797		79.488		2
92.251		226.259		0		0.000		0		0.000		0.000		1.390		1.797		79.488		2
101.660		238.734		0		0.000		0		0.000		0.000		1.390		1.797		79.488		2
109.727		214.269		0		0.000		0		0.000		0.000		1.390		1.797		79.488		2
92.700		230.573		0		0.000		0		0.000		0.000		1.390		1.728		72.564		1
100.724		233.866		0		0.000		0		0.000		0.000		1.390		1.728		72.564		1
94.108		212.313		0		0.000		0		0.000		0.000		1.390		1.800		76.647		2
116.121		211.018		0		0.000		0		0.000		0.000		1.390		1.728		72.564		1
183.177		239.143		0		0.000		0		0.000		0.000		1.390		1.728		72.564		1
183.171		249.490		0		0.000		0		0.000		0.000		1.390		1.806		85.265		1
87.367		208.880		0		0.000		0		0.000		0.000		1.390		1.746		70.151		1
88.345		208.122		0		0.000		0		0.000		0.000		1.303		1.746		70.151		1
106.145		225.857		0		0.000		0		0.000		0.000		1.390		1.746		70.151		1
99.256		225.188		0		0.000		0		0.000		0.000		1.390		1.792		81.211		2
107.671		247.720		0		0.000		0		0.000		0.000		1.390		1.746		70.151		1
185.900		240.896		0		0.000		0		0.000		0.000		1.390		1.746		70.151		1
92.186		208.787		0		0.000		0		0.000		0.000		1.390		1.810		83.247		1
126.489		242.789		0		0.000		0		0.000		0.000		1.390		1.810		83.247		1
180.220		244.063		0		0.000		0		0.000		0.000		1.390		1.810		83.247		1
184.606		232.082		0		0.000		0		0.000		0.000		1.390		1.810		83.247		1
